Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31
51,23:13.8,22.0459,22.2186,22.9475,22.6302,22.3207,22.3149,22.275,22.189,22.6378,22.5324,22.4713,22.4135,22.5052,22.4046,23.1935,0.0134,-0.4764,22.2097,22.9841,22.5118,22.3495,22.3403,22.2731,22.158,22.3059,22.3547,22.4078,22.3861,22.3827,22.2669,22.2365,22.2396
52,23:14.1,22.0387,22.2174,22.9508,22.6272,22.3385,22.3262,22.2727,22.1834,22.651,22.5527,22.4806,22.4172,22.4916,22.4041,23.1921,0.0147,-0.5113,22.2222,22.9582,22.5139,22.352,22.3482,22.2713,22.1614,22.3084,22.3773,22.3904,22.4062,22.3739,22.2538,22.2266,22.2438
53,23:14.5,22.0424,22.2186,22.9653,22.5881,22.3332,22.3181,22.2849,22.1631,22.6552,22.5433,22.4711,22.4197,22.5003,22.4138,23.1797,0.0151,-0.6174,22.221,22.9703,22.5088,22.3444,22.3546,22.2733,22.1631,22.3059,22.3681,22.4017,22.4056,22.3929,22.3099,22.1875,22.2415
54,23:14.8,22.0417,22.2114,22.9619,22.604,22.3297,22.2583,22.296,22.2012,22.6598,22.5414,22.5053,22.4202,22.4892,22.4067,23.1771,0.0128,-0.7084,22.2377,22.9617,22.5536,22.3469,22.3442,22.2743,22.1707,22.2939,22.3727,22.396,22.3891,22.4063,22.3275,22.2111,22.2477
55,23:15.1,22.0426,22.242,22.9935,22.6098,22.3302,22.3029,22.2798,22.1804,22.6536,22.5167,22.5136,22.4252,22.5008,22.4027,23.1965,0.0156,-0.7731,22.2289,22.9779,22.5381,22.3481,22.353,22.2833,22.1651,22.307,22.3838,22.4057,22.3924,22.4074,22.3199,22.2393,22.2461
56,23:15.5,22.0484,22.2163,22.9968,22.6304,22.3332,22.3036,22.2833,22.1846,22.6371,22.5292,22.5042,22.3961,22.5029,22.3905,23.1965,0.0162,-0.8056,22.1995,22.9238,22.4753,22.3596,22.3447,22.2733,22.1594,22.3204,22.3734,22.4089,22.3854,22.4056,22.2993,22.2333,22.2449
57,23:15.8,22.0512,22.205,22.9769,22.6054,22.3325,22.3126,22.275,22.1772,22.6439,22.5303,22.5139,22.3626,22.5057,22.4085,23.2171,0.0146,-0.8094,22.2148,22.9437,22.5014,22.3522,22.3445,22.2905,22.164,22.3093,22.3803,22.4052,22.3824,22.4072,22.3231,22.225,22.2401
58,23:16.1,22.0505,22.2329,22.9651,22.5996,22.3281,22.314,22.2801,22.1832,22.6422,22.5463,22.5083,22.315,22.5066,22.4108,23.1852,0.0133,-0.7992,22.2379,22.9474,22.5421,22.3603,22.344,22.2814,22.1626,22.3121,22.3716,22.4147,22.3785,22.3996,22.3583,22.227,22.2535
59,23:16.5,22.044,22.2228,22.963,22.6064,22.3348,22.3022,22.2738,22.1869,22.6436,22.5451,22.4986,22.4165,22.5135,22.3838,23.1901,0.013,-0.7749,22.2145,22.9407,22.5303,22.3626,22.3449,22.2812,22.1686,22.2959,22.36,22.4154,22.3915,22.3996,22.3379,22.2222,22.2389
60,23:16.8,22.047,22.2267,22.9501,22.6114,22.3119,22.274,22.2847,22.1617,22.6399,22.5407,22.4968,22.3982,22.4994,22.4039,23.1857,0.0139,-0.7476,22.2349,22.9199,22.5201,22.3629,22.3447,22.2837,22.1607,22.3022,22.3618,22.4168,22.394,22.3956,22.2961,22.2351,22.2482
61,23:17.1,22.05,22.2346,22.9554,22.6181,22.3063,22.3112,22.2969,22.1642,22.5787,22.4659,22.4354,22.2993,22.5043,22.4138,23.2079,0.0147,-0.7217,22.2196,22.9582,22.5227,22.371,22.3401,22.2824,22.1385,22.3068,22.372,22.4154,22.3954,22.3836,22.2993,22.2342,22.247
62,23:17.5,22.0438,22.2006,22.9519,22.6149,22.3394,22.3403,22.2981,22.173,22.6056,22.4795,22.4411,22.3472,22.5052,22.3946,23.2032,0.0155,-0.698,22.2344,22.9356,22.4868,22.3578,22.3438,22.28,22.0713,22.3181,22.378,22.4172,22.3792,22.3744,22.2482,22.23,22.253
63,23:17.8,22.0503,22.2179,22.9579,22.6119,22.329,22.3378,22.2819,22.1895,22.5979,22.4765,22.4393,22.3525,22.4987,22.4113,23.1903,0.0153,-0.6766,22.2178,22.9545,22.5328,22.3513,22.338,22.2907,22.1413,22.3198,22.3711,22.4064,22.3653,22.3908,22.3268,22.2659,22.2514
