Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31,Events
36,40:27.1,21.2744,21.3324,22.2774,21.7218,21.6419,21.5292,21.622,21.4756,21.888,21.6973,21.6961,21.4783,21.8214,21.6194,22.5807,0.1328,-0.4448,21.5744,22.363,21.8697,21.7609,21.6538,21.7082,21.3459,21.4897,21.4935,21.6234,21.5195,21.7856,21.4976,21.6705,21.695,
37,40:27.4,21.2807,21.3452,22.2756,21.7278,21.6415,21.5289,21.622,21.4707,21.8929,21.6929,21.6885,21.4741,21.8205,21.6215,22.5703,0.1329,-0.4518,21.5645,22.3637,21.8752,21.7706,21.6471,21.7045,21.3515,21.4897,21.4817,21.6231,21.5239,21.7766,21.4937,21.6615,21.6892,
38,40:27.8,21.2751,21.3433,22.2749,21.7389,21.6364,21.5289,21.6146,21.4834,21.8957,21.689,21.6871,21.4751,21.8214,21.6305,22.5754,0.133,-0.4478,21.564,22.3549,21.8701,21.7634,21.6418,21.7071,21.3471,21.5045,21.488,21.6384,21.5352,21.7856,21.4869,21.6675,21.6855,
39,40:28.1,21.2767,21.3496,22.2763,21.7553,21.6371,21.5301,21.618,21.4811,21.9024,21.6913,21.6919,21.4725,21.8221,21.6153,22.575,0.1333,-0.4346,21.5631,22.3701,21.8777,21.7623,21.6351,21.7013,21.3448,21.5062,21.488,21.6382,21.5452,21.7868,21.5029,21.6719,21.6883,
40,40:28.4,21.2793,21.3389,22.2786,21.7676,21.6419,21.534,21.6171,21.4802,21.9026,21.6904,21.6889,21.4711,21.8189,21.6285,22.5796,0.1334,-0.4132,21.5663,22.3683,21.8858,21.7674,21.6425,21.7129,21.3459,21.4923,21.4866,21.6268,21.5391,21.7826,21.5011,21.6677,21.6746,
41,40:28.8,21.2825,21.3364,22.2673,21.7611,21.6412,21.5289,21.6132,21.4816,21.9054,21.688,21.6836,21.4653,21.8219,21.6183,22.5632,0.1339,-0.4083,21.5682,22.3639,21.8803,21.7641,21.6323,21.7103,21.3515,21.5059,21.4871,21.634,21.5317,21.7837,21.5052,21.6633,21.6867,
42,40:29.1,21.2791,21.3364,22.258,21.7625,21.6417,21.5298,21.6139,21.4767,21.9007,21.6825,21.6836,21.4646,21.8207,21.6134,22.5676,0.1343,-0.4155,21.5765,22.3613,21.8939,21.7627,21.6362,21.7149,21.3432,21.5101,21.4903,21.6257,21.529,21.7831,21.518,21.6615,21.6746,
43,40:29.4,21.2749,21.3334,22.258,21.7607,21.6433,21.5329,21.6072,21.479,21.9077,21.6874,21.6885,21.469,21.8196,21.6088,22.5625,0.1346,-0.436,21.5693,22.3602,21.8932,21.7692,21.6418,21.7244,21.3427,21.5101,21.4877,21.6284,21.5385,21.79,21.5117,21.6744,21.6869,
44,40:29.8,21.2717,21.3352,22.2525,21.7576,21.6322,21.5254,21.6118,21.4675,21.9172,21.692,21.6813,21.4626,21.8191,21.5991,22.5622,0.135,-0.4318,21.5675,22.3537,21.9048,21.7664,21.6413,21.7348,21.3536,21.5087,21.4894,21.619,21.5262,21.7861,21.5122,21.6636,21.667,
45,40:30.1,21.2717,21.341,22.2351,21.7463,21.644,21.5215,21.6127,21.4733,21.9093,21.6857,21.6873,21.4577,21.8223,21.5863,22.5611,0.1353,-0.4483,21.5684,22.3563,21.8949,21.7667,21.636,21.7258,21.3441,21.5043,21.4822,21.6116,21.5253,21.7837,21.5131,21.6668,21.6626,
46,40:30.4,21.2742,21.3264,22.2252,21.7435,21.6278,21.5192,21.6081,21.4647,21.9075,21.6834,21.6815,21.457,21.8214,21.5824,22.5484,0.1355,-0.5597,21.5606,22.3459,21.8863,21.7576,21.6318,21.7318,21.3401,21.5096,21.4743,21.6051,21.5229,21.7752,21.5015,21.6645,21.6552,
47,40:30.8,21.271,21.3287,22.1914,21.7368,21.6357,21.5155,21.6072,21.4608,21.9061,21.6827,21.6711,21.46,21.8121,21.5789,22.5493,0.1359,-0.6724,21.5751,22.3593,21.8886,21.7597,21.6362,21.7443,21.3427,21.5119,21.4845,21.612,21.5225,21.781,21.5163,21.6673,21.6545,
48,40:31.1,21.271,21.3324,22.1762,21.7354,21.6348,21.5231,21.6146,21.4686,21.9065,21.6823,21.6818,21.4616,21.8198,21.5648,22.5472,0.1363,-0.7568,21.5673,22.3586,21.8875,21.7602,21.6385,21.7409,21.3388,21.5094,21.4778,21.6097,21.519,21.7757,21.514,21.6608,21.6427,
49,40:31.4,21.2675,21.3199,22.1491,21.722,21.6408,21.5183,21.6081,21.4614,21.9072,21.6818,21.6739,21.4651,21.8237,21.5722,22.5442,0.1364,-0.8174,21.5737,22.3553,21.8798,21.7646,21.6357,21.7302,21.3432,21.5136,21.4787,21.6099,21.519,21.7743,21.5018,21.6705,21.6432,
50,40:31.8,21.2666,21.3324,22.15,21.7139,21.6491,21.5123,21.612,21.4631,21.9146,21.6742,21.6762,21.4591,21.8184,21.5681,22.5505,0.1368,-0.8589,21.5786,22.3505,21.8831,21.762,21.6431,21.7161,21.3369,21.5122,21.4669,21.6065,21.5195,21.7879,21.5057,21.6735,21.6473,
51,40:32.1,21.2703,21.3347,22.1447,21.7155,21.6417,21.5148,21.6113,21.4642,21.9093,21.6885,21.6707,21.4572,21.8198,21.5547,22.5368,0.1371,-0.8936,21.58,22.3597,21.8824,21.7754,21.6494,21.7205,21.3466,21.514,21.4718,21.6113,21.5176,21.7826,21.5059,21.6682,21.6536,
52,40:32.4,21.2677,21.3213,22.1449,21.7088,21.6408,21.5143,21.6106,21.476,21.9121,21.6929,21.685,21.4612,21.8191,21.5556,22.5528,0.1372,-0.9167,21.5853,22.3516,21.8826,21.7729,21.6522,21.7286,21.3543,21.5043,21.4746,21.6053,21.5174,21.7777,21.5066,21.6661,21.6566,
53,40:32.8,21.27,21.326,22.1373,21.7111,21.6468,21.5197,21.6176,21.4654,21.9192,21.6936,21.6776,21.4542,21.8249,21.5466,22.5334,0.1375,-0.9177,21.5918,22.3468,21.8819,21.778,21.6545,21.7247,21.3605,21.5089,21.4588,21.6,21.5176,21.7805,21.4974,21.6559,21.6577,
54,40:33.1,21.2663,21.3331,22.1359,21.7153,21.6385,21.5086,21.6169,21.4635,21.91,21.6924,21.6795,21.4579,21.8196,21.5431,22.5442,0.1379,-0.8843,21.599,22.359,21.8801,21.7831,21.6499,21.7212,21.3674,21.5085,21.4542,21.5928,21.5232,21.7701,21.4978,21.6617,21.6638,
55,40:33.4,21.2668,21.3306,22.1355,21.7192,21.6454,21.5248,21.6169,21.4723,21.9169,21.6885,21.6767,21.4538,21.8184,21.5519,22.5382,0.1381,-0.832,21.5904,22.3579,21.8669,21.7727,21.6482,21.7274,21.3742,21.5119,21.4593,21.6005,21.5239,21.7777,21.4957,21.6636,21.6621,
56,40:33.8,21.267,21.3276,22.1375,21.7162,21.6466,21.5141,21.618,21.4658,21.9086,21.6869,21.6813,21.4575,21.8267,21.5459,22.5375,0.1382,-0.7787,21.5897,22.3567,21.8685,21.7738,21.6501,21.7221,21.3904,21.5143,21.4544,21.5991,21.5199,21.7696,21.4985,21.664,21.6749,
57,40:34.1,21.2703,21.3232,22.1496,21.7125,21.6479,21.5273,21.6139,21.4663,21.9098,21.6864,21.6843,21.4556,21.8159,21.5447,22.5303,0.1385,-0.7349,21.6001,22.3579,21.8588,21.778,21.6545,21.7279,21.395,21.5277,21.4565,21.5926,21.5186,21.774,21.4955,21.6652,21.6719,
58,40:34.4,21.2726,21.3331,22.1584,21.7188,21.6426,21.5227,21.6197,21.4679,21.9109,21.6911,21.6778,21.4577,21.8172,21.5317,22.5366,0.1387,-0.6938,21.5994,22.3528,21.8639,21.784,21.6531,21.723,21.401,21.5346,21.4493,21.5949,21.5146,21.7676,21.4909,21.6619,21.6677,
59,40:34.8,21.2707,21.3306,22.1623,21.7174,21.6512,21.5204,21.6116,21.4668,21.9232,21.6834,21.669,21.4572,21.8149,21.5371,22.5327,0.1389,-0.6634,21.5978,22.3572,21.856,21.7736,21.6536,21.7147,21.4084,21.5305,21.4554,21.6069,21.5153,21.7757,21.4842,21.6666,21.6561,
60,40:35.1,21.2675,21.3347,22.1743,21.719,21.6558,21.525,21.6222,21.4663,21.9061,21.6818,21.6732,21.4559,21.8091,21.5306,22.5306,0.1392,-0.6421,21.6034,22.3558,21.8495,21.7859,21.6524,21.7228,21.4042,21.5298,21.457,21.5893,21.526,21.7757,21.4828,21.6698,21.6508,
61,40:35.4,21.2675,21.3306,22.1845,21.7167,21.6496,21.5331,21.6238,21.4684,21.9038,21.6894,21.6762,21.448,21.8219,21.5343,22.5306,0.1393,-0.6305,21.601,22.3563,21.8435,21.7794,21.6691,21.7237,21.4052,21.5348,21.4653,21.5951,21.5158,21.7757,21.4765,21.6622,21.6434,
62,40:35.8,21.2592,21.3294,22.196,21.7195,21.6586,21.525,21.6169,21.4672,21.9028,21.6769,21.6688,21.4542,21.8084,21.5269,22.5199,0.1394,-0.6253,21.5983,22.3523,21.8488,21.7734,21.6586,21.7207,21.4003,21.5318,21.469,21.5947,21.5195,21.7773,21.49,21.6617,21.6459,
63,40:36.1,21.2643,21.3308,22.1967,21.725,21.6493,21.5155,21.6143,21.4621,21.9047,21.6751,21.666,21.4575,21.8084,21.5227,22.523,0.1394,-0.6291,21.5999,22.3697,21.8495,21.7981,21.6658,21.7279,21.4052,21.5411,21.4602,21.5961,21.5248,21.7722,21.4842,21.6636,21.645,
64,40:36.4,21.27,21.3387,22.2118,21.7322,21.6616,21.5248,21.6206,21.4698,21.9012,21.6797,21.6737,21.4586,21.8068,21.5287,22.526,0.1393,-0.6162,21.6001,22.3646,21.8391,21.781,21.6628,21.7207,21.3971,21.5416,21.4609,21.5977,21.5186,21.7708,21.4786,21.664,21.6571,
65,40:36.8,21.2617,21.3428,22.2187,21.7359,21.6556,21.5238,21.6167,21.4695,21.9003,21.6862,21.6764,21.4582,21.8161,21.5264,22.5331,0.1395,-0.6165,21.6001,22.3655,21.8456,21.787,21.6667,21.7265,21.3906,21.5432,21.4621,21.6016,21.5211,21.7696,21.4742,21.6552,21.661,
66,40:37.1,21.267,21.3408,22.2319,21.7264,21.6479,21.5222,21.6143,21.473,21.9044,21.6811,21.679,21.4651,21.8047,21.5257,22.5292,0.1397,-0.5923,21.595,22.3526,21.835,21.787,21.6624,21.7265,21.383,21.542,21.4468,21.6025,21.5223,21.765,21.4895,21.6534,21.661,
67,40:37.4,21.2693,21.3378,22.2351,21.7375,21.6509,21.5206,21.6194,21.476,21.8924,21.6906,21.6732,21.46,21.8089,21.522,22.5216,0.1398,-0.5842,21.592,22.3616,21.8488,21.7882,21.6654,21.7325,21.3917,21.5367,21.4572,21.6125,21.5181,21.7752,21.4768,21.6573,21.6591,
68,40:37.8,21.2691,21.3424,22.2407,21.7338,21.6581,21.5271,21.6215,21.4707,21.8855,21.6783,21.6663,21.4515,21.8022,21.5146,22.5179,0.14,-0.582,21.5953,22.3687,21.841,21.7872,21.6781,21.7348,21.3954,21.5365,21.4442,21.6136,21.5223,21.768,21.4798,21.6545,21.664,
69,40:38.1,21.2626,21.3352,22.2328,21.7373,21.6447,21.5222,21.6132,21.4767,21.8862,21.6846,21.6674,21.4642,21.8001,21.5112,22.5278,0.1404,-0.5776,21.5906,22.3625,21.8366,21.7905,21.6709,21.7207,21.4008,21.5466,21.4392,21.6136,21.5162,21.7629,21.4751,21.6587,21.6601,
70,40:38.4,21.2622,21.3331,22.2395,21.7264,21.6489,21.522,21.6086,21.4716,21.8746,21.6786,21.6607,21.4575,21.8036,21.5072,22.5199,0.1408,-0.5743,21.5957,22.3639,21.8382,21.7838,21.6721,21.727,21.4123,21.5478,21.4327,21.6134,21.5273,21.7696,21.4819,21.6596,21.654,
