Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31,Events
58,37:41.4,21.2603,21.3674,22.2695,21.7763,21.6639,21.4881,21.6677,21.4207,21.9804,21.687,21.8378,21.4738,21.9116,21.5687,22.5194,0.1033,-0.7393,21.3475,22.2372,21.699,21.7154,21.6086,21.7627,21.3437,-9999,21.4554,21.8163,21.5482,21.7864,21.6058,21.6533,21.5945,
59,37:41.8,21.2615,21.368,22.2714,21.7749,21.6696,21.4803,21.6617,21.4179,21.9846,21.6778,21.8332,21.4699,21.9051,21.5673,22.5257,0.1033,-0.7185,21.348,22.2411,21.7038,21.7147,21.6125,21.7683,21.3421,-9999,21.4538,21.817,21.5499,21.7815,21.6148,21.6503,21.5924,
60,37:42.1,21.2624,21.3602,22.2808,21.7742,21.6641,21.4842,21.6622,21.4135,21.9839,21.6792,21.8323,21.4683,21.9067,21.5592,22.5273,0.1033,-0.7002,21.345,22.2344,21.7022,21.7187,21.6127,21.7708,21.3421,-9999,21.4561,21.8052,21.5556,21.7912,21.6115,21.6542,21.5892,
61,37:42.4,21.2538,21.3634,22.2778,21.7779,21.6578,21.4879,21.6612,21.4091,22.0414,21.7315,21.8874,21.5301,21.9088,21.5616,22.5259,0.1033,-0.6865,21.3376,22.2423,21.7045,21.7244,21.6088,21.7692,21.3405,-9999,21.4538,21.8154,21.5589,21.7903,21.6108,21.651,21.5908,
62,37:42.8,21.2548,21.3669,22.2737,21.7722,21.6634,21.474,21.6543,21.4105,22.0476,21.744,21.9001,21.5137,21.9134,21.5678,22.5227,0.1035,-0.6758,21.3293,22.2307,21.7017,21.7233,21.6037,21.7606,21.3331,-9999,21.4607,21.8124,21.567,21.7841,21.6076,21.6524,21.5755,
63,37:43.1,21.2481,21.3551,22.273,21.7733,21.6602,21.4828,21.6696,21.3959,22.0356,21.7281,21.8835,21.5209,21.9044,21.5678,22.5287,0.1036,-0.6643,21.3281,22.2319,21.7075,21.7221,21.6044,21.7648,21.3234,-9999,21.4616,21.8076,21.5607,21.7885,21.6078,21.6521,21.5735,
64,37:43.4,21.252,21.3616,22.2862,21.7775,21.6673,21.4761,21.6666,21.4068,22.0421,21.7306,21.8819,21.5091,21.9085,21.559,22.5368,0.1039,-0.6555,21.3253,22.2314,21.7064,21.7166,21.5947,21.7606,21.3199,-9999,21.4579,21.8002,21.5563,21.7991,21.6065,21.6484,21.5538,
65,37:43.8,21.2494,21.3618,22.2885,21.7638,21.6659,21.4738,21.6619,21.3959,22.0305,21.7248,21.8712,21.5049,21.9065,21.5643,22.5268,0.1041,-0.6492,21.3302,22.2379,21.7096,21.7163,21.5866,21.7565,21.3146,-9999,21.4778,21.7976,21.5633,21.7973,21.6018,21.6477,21.5515,
66,37:44.1,21.2499,21.3544,22.2815,21.7708,21.6659,21.4733,21.6631,21.3961,22.0323,21.7248,21.8735,21.4968,21.9021,21.5643,22.5233,0.1043,-0.6439,21.326,22.243,21.6911,21.7231,21.588,21.7611,21.3208,-9999,21.4836,21.7925,21.566,21.7908,21.6023,21.6445,21.542,
67,37:44.4,21.252,21.3544,22.285,21.7701,21.6583,21.4719,21.6531,21.3892,22.0289,21.7274,21.8745,21.4903,21.9032,21.5507,22.5243,0.1048,-0.639,21.3267,22.2409,21.7045,21.7187,21.5836,21.7539,21.3083,-9999,21.4797,21.7985,21.5642,21.7882,21.6023,21.645,21.5397,
