Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31
37,06:17.9,22.3499,21.8524,22.7138,22.3651,22.0944,22.155,22.0642,22.0108,22.4761,22.3565,22.5012,22.1853,22.3257,22.0736,22.9305,0.0125,-0.7011,21.852,22.7106,22.477,22.1919,22.3355,22.3039,21.9381,21.953,22.2506,22.3724,22.0277,22.2452,22.1021,22.1173,22.4247
38,06:18.2,22.342,21.8506,22.7221,22.3732,22.0889,22.1515,22.0559,22.0138,22.4888,22.3568,22.5082,22.189,22.3271,22.0671,22.9351,0.0121,-0.7078,21.8578,22.7182,22.4758,22.2064,22.3254,22.3222,21.9393,21.9534,22.2562,22.3675,22.0333,22.2255,22.1003,22.068,22.4189
39,06:18.5,22.346,21.839,22.7225,22.3771,22.0947,22.1474,22.063,21.9986,22.4941,22.3635,22.4973,22.1918,22.3275,22.0704,22.936,0.0112,-0.7151,21.8553,22.711,22.4821,22.2057,22.3196,22.3141,21.9351,21.9417,22.2506,22.3578,22.0398,22.217,22.0846,22.0442,22.4145
40,06:18.9,22.3451,21.8455,22.7235,22.379,22.088,22.1465,22.0691,21.9944,22.4988,22.3616,22.4878,22.2001,22.3183,22.0785,22.9349,0.0106,-0.7239,21.8481,22.7036,22.4733,22.1999,22.3078,22.3137,21.9305,21.9414,22.2523,22.3558,22.0206,22.2031,22.0786,22.0371,22.4088
41,06:19.2,22.3444,21.8494,22.72,22.3822,22.0956,22.1504,22.0614,21.9858,22.4962,22.366,22.4978,22.2006,22.3063,22.0729,22.9344,0.009,-0.7308,21.8574,22.711,22.4652,22.1981,22.3147,22.322,21.9242,21.9428,22.2532,22.3514,22.0171,22.2061,22.0887,22.0456,22.4034
42,06:19.5,22.3356,21.8557,22.723,22.3843,22.093,22.1472,22.07,21.9784,22.4877,22.3522,22.4816,22.1962,22.2614,22.0655,22.9309,0.0075,-0.7375,21.8569,22.7078,22.4622,22.1944,22.3191,22.3238,21.924,21.9305,22.256,22.3342,22.0074,22.201,22.0941,22.0421,22.3884
43,06:19.9,22.3453,21.8466,22.7235,22.3813,22.0884,22.152,22.0635,21.972,22.487,22.3487,22.4876,22.2027,22.2309,22.0676,22.9295,0.0071,-0.7451,21.8611,22.7039,22.4592,22.193,22.3212,22.325,21.9189,21.9326,22.2657,22.334,22.0072,22.2012,22.088,22.0505,22.3963
44,06:20.2,22.3541,21.8531,22.7184,22.3806,22.093,22.1518,22.0658,21.9592,22.474,22.3438,22.4906,22.2015,22.2124,22.0551,22.9187,0.0059,-0.753,21.8463,22.7036,22.4548,22.1923,22.3193,22.3215,21.9099,21.9331,22.2719,22.3273,22.0042,22.2059,22.1093,22.0553,22.3861
45,06:20.5,22.3504,21.8483,22.7242,22.3781,22.0845,22.1492,22.0679,21.9516,22.4821,22.3362,22.4814,22.2217,22.2191,22.0465,22.9289,0.0048,-0.7595,21.8553,22.7016,22.452,22.2023,22.3237,22.3289,21.9104,21.9336,22.2738,22.3102,22.0002,22.1989,22.1075,22.0632,22.3819
46,06:20.9,22.3499,21.8582,22.7269,22.3762,22.0854,22.1446,22.0679,21.9544,22.4768,22.3406,22.4871,22.2075,22.2288,22.0403,22.9323,0.0034,-0.7505,21.8527,22.7029,22.4518,22.2004,22.3256,22.3326,21.9099,21.9373,22.2835,22.2996,22.0025,22.2089,22.1038,22.0715,22.3866
