Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31
50,10:13.8,21.4959,21.9895,22.7038,22.3117,22.0502,22.1422,22.0782,22.0107,22.388,22.28,22.2835,22.1243,22.2586,22.2193,22.9954,0.0046,-0.6798,22.0308,22.6459,22.3203,22.1188,22.08,22.0225,21.8829,22.0288,22.1471,22.1935,22.1277,22.1503,22.1285,21.997,21.8117
51,10:14.2,21.4996,22.0443,22.6336,22.3177,22.0596,22.1281,22.0627,22.0378,22.3293,22.3154,22.2622,22.1391,22.251,22.2408,22.9741,0.0041,-0.6839,21.932,22.6373,22.3076,22.0948,22.0451,21.9911,21.8711,22.0078,22.1431,22.1627,22.1219,22.1218,22.1174,22.0044,21.7865
52,10:14.5,21.5005,22.0433,22.6326,22.2745,22.0504,22.1172,22.0398,22.019,22.3348,22.3445,22.2488,22.1523,22.2797,22.238,22.9661,0.0028,-0.6891,21.9919,22.6604,22.3168,22.1503,22.115,22.0033,21.8681,22.0358,22.1242,22.1796,22.1148,22.114,22.1139,21.9677,21.7911
53,10:14.8,21.5047,22.0339,22.6204,22.2888,22.0881,22.1274,22.0354,22.0352,22.3265,22.3307,22.2742,22.1056,22.2829,22.2445,22.9547,0.0034,-0.6931,21.9871,22.6651,22.3004,22.1505,22.0958,22.023,21.8678,22.0353,22.1586,22.2009,22.1032,22.0848,22.1204,21.9797,21.7922
54,10:15.2,21.5024,22.0376,22.7177,22.3249,22.0659,22.1239,22.0363,22.0204,22.4176,22.2839,22.2388,22.1474,22.2831,22.2369,22.8983,0.0035,-0.6957,21.9746,22.6581,22.3263,22.1401,22.0671,22.0068,21.8623,22.052,22.1084,22.1278,22.1286,22.11,22.1224,21.9899,21.7855
55,10:15.5,21.5102,22.035,22.698,22.3071,22.0541,22.1533,22.0377,22.0551,22.3575,22.2907,22.2765,22.1317,22.2709,22.229,22.9353,0.0039,-0.697,21.9602,22.6413,22.3346,22.1658,22.0477,22.0008,21.862,22.0649,22.1454,22.1768,22.1199,22.1177,22.1303,21.9825,21.8434
56,10:15.8,21.5072,22.0679,22.7621,22.2972,22.0596,22.1399,22.0703,22.0146,22.3986,22.2615,22.2555,22.178,22.2584,22.2193,22.9286,0.004,-0.6998,21.9339,22.6762,22.2962,22.1362,22.037,21.9936,21.8567,22.0291,22.098,22.1435,22.1379,22.1709,22.1361,21.991,21.8212
57,10:16.2,21.5054,22.0105,22.7202,22.3372,22.0571,22.1371,22.1004,22.0445,22.4292,22.2738,22.2721,22.1634,22.2815,22.2084,22.9614,0.0035,-0.7015,21.9614,22.6588,22.2921,22.1283,22.0588,21.9747,21.8567,22.0379,22.0423,22.1079,22.1522,22.147,22.1317,21.9855,21.8468
58,10:16.5,21.5035,22.0353,22.7625,22.312,22.0627,22.1253,22.0895,22.022,22.4264,22.3147,22.2976,22.1569,22.2642,22.2422,22.9506,0.0038,-0.703,21.914,22.6473,22.3402,22.1135,22.041,21.9779,21.8479,22.0409,22.0717,22.1001,22.1853,22.1938,22.1363,21.9677,21.8487
59,10:16.8,21.5128,21.9952,22.7563,22.2988,22.0675,22.1466,22.0979,22.054,22.3864,22.3307,22.2943,22.1449,22.2473,22.2144,22.9986,0.0043,-0.7057,21.9366,22.6692,22.312,22.1218,22.1198,22.0239,21.8526,21.9819,22.1142,22.0883,22.1552,22.1963,22.1338,22.0007,21.8785
60,10:17.2,21.5086,22.0343,22.7329,22.2972,22.0481,22.1519,22.0521,22.0015,22.3559,22.2476,22.2705,22.1502,22.2626,22.2376,23.0049,0.0033,-0.7077,21.9415,22.6762,22.3078,22.0848,22.0211,22.0105,21.7959,21.9803,22.0738,22.0892,22.1326,22.1866,22.1382,21.9758,21.8801
61,10:17.5,21.501,22.0251,22.7066,22.2983,22.0499,22.1251,22.0757,22.0264,22.3815,22.3022,22.2335,22.0933,22.2554,22.245,22.9487,0.0035,-0.7097,22.0096,22.735,22.396,22.092,22.019,21.9821,21.7813,22.0129,22.0791,22.1556,22.0928,22.1563,22.1278,21.9903,21.8702
62,10:17.8,21.5038,22.063,22.7702,22.3083,22.0749,22.1524,22.0782,22.0181,22.3938,22.3448,22.3052,22.1028,22.2445,22.2526,22.9598,0.004,-0.7119,22.051,22.6745,22.4219,22.1292,22.0969,21.9714,21.7792,21.9821,22.0816,22.1833,22.1749,22.1531,22.1273,21.9839,21.8501
63,10:18.2,21.5167,22.0743,22.7209,22.2796,22.0543,22.1494,22.0666,22.059,22.3896,22.3244,22.265,22.137,22.2381,22.2373,22.9899,0.004,-0.714,21.989,22.7172,22.3724,22.1084,22.084,21.9969,21.7982,22.0263,22.1355,22.1292,22.1492,22.1413,22.1372,22.0026,21.8531
64,10:18.5,21.5079,22.0362,22.748,22.3208,22.0439,22.1292,22.0597,22.0068,22.3788,22.3165,22.2987,22.137,22.2466,22.2174,22.9813,0.0035,-0.7133,22.0017,22.7302,22.3458,22.0999,22.0726,21.9499,21.8366,22.0256,22.1464,22.1641,22.1663,22.1343,22.1391,22.0058,21.8235
65,10:18.8,21.5132,22.0394,22.7036,22.3064,22.0395,22.1244,22.0544,22.0065,22.3827,22.3163,22.2543,22.1534,22.2841,22.2309,23.0076,0.0031,-0.7143,22.0228,22.6985,22.3729,22.145,22.1103,22.0161,21.8632,22.0214,22.1454,22.1357,22.1354,22.1177,22.1287,22,21.8036
66,10:19.2,21.5158,22.0258,22.7066,22.3328,22.0573,22.1311,22.0509,22.0341,22.413,22.2846,22.2765,22.1488,22.2605,22.2232,23.0157,0.0034,-0.7176,22.0452,22.7188,22.3586,22.111,22.025,21.9645,21.8403,22.0293,22.1404,22.1616,22.1377,22.139,22.177,21.9977,21.7599
67,10:19.5,21.5061,22.0165,22.7514,22.2875,22.0504,22.1323,22.0819,22.0183,22.398,22.2266,22.2076,22.2006,22.2725,22.2283,22.9513,0.0039,-0.7236,21.9675,22.7027,22.3923,22.1089,21.9926,21.9298,21.8674,22.052,22.0654,22.1257,22.1807,22.1736,22.1097,21.9885,21.7457
68,10:19.8,21.5072,22.0359,22.7574,22.3582,22.0502,22.1385,22.0752,22.0227,22.4017,22.1968,22.16,22.1507,22.2646,22.2248,22.9903,0.0044,-0.7285,22.0057,22.7304,22.3796,22.0814,21.9822,21.905,21.8669,22.0207,22.0502,22.1218,22.1599,22.1507,22.1181,21.9866,21.7476
69,10:20.2,21.5149,22.0558,22.7429,22.2777,22.0541,22.1325,22.0701,22.0308,22.3931,22.302,22.2525,22.1201,22.2503,22.2567,22.949,0.0047,-0.7326,22.0188,22.6842,22.4025,22.0735,21.9986,21.9164,21.8648,22.0224,21.9986,22.1276,22.1654,22.1443,22.1243,21.9977,21.761
70,10:20.5,21.5093,22.0336,22.6997,22.2708,22.0502,22.1299,22.0766,22.0144,22.3709,22.2208,22.2492,22.1252,22.2492,22.2221,22.997,0.0046,-0.7524,22.0403,22.7265,22.4117,22.1415,21.9855,21.9458,21.8708,22.0219,22.0911,22.1264,22.1684,22.1674,22.1386,22.0095,21.8089
